pass_num,pass_year,mo_num,pass,year,month,date,avg_new_snowfall_in,avg_tot_snowfall_in,mean_ONI,ENSO
1,2005,11,Blewett,2005,Nov,2005-11-01,0.732673,3,-0.395,Neutral
1,2005,12,Blewett,2005,Dec,2005-12-01,1.525,18,-0.395,Neutral
1,2005,1,Blewett,2006,Jan,2006-01-01,1.109154,31,0.265,Neutral
1,2005,2,Blewett,2006,Feb,2006-02-01,0.649253,27,0.265,Neutral
1,2005,3,Blewett,2006,Mar,2006-03-01,0.583333,20,0.265,Neutral
1,2005,4,Blewett,2006,Apr,2006-04-01,0.714285,10,0.265,Neutral
10,2006,10,Stevens,2006,Oct,2006-10-01,0,0,0.265,Neutral
10,2006,11,Stevens,2006,Nov,2006-11-01,0.95,6,0.265,Neutral
10,2006,12,Stevens,2006,Dec,2006-12-01,1.636363,22,0.265,Neutral
10,2006,1,Stevens,2007,Jan,2007-01-01,0.967741,30,-1.14916666666667,La Niña
10,2006,2,Stevens,2007,Feb,2007-02-01,1.089285,30,-1.14916666666667,La Niña
10,2006,3,Stevens,2007,Mar,2007-03-01,1.790322,28,-1.14916666666667,La Niña
11,2007,10,Snoqualmie,2007,Oct,2007-10-01,0.045454,0,-1.14916666666667,La Niña
11,2007,11,Snoqualmie,2007,Nov,2007-11-01,1.970198,10,-1.14916666666667,La Niña
11,2007,12,Snoqualmie,2007,Dec,2007-12-01,2.724358,34,-1.14916666666667,La Niña
11,2007,1,Snoqualmie,2008,Jan,2008-01-01,2.751612,59,-0.396666666666667,Neutral
11,2007,2,Snoqualmie,2008,Feb,2008-02-01,1.588652,68,-0.396666666666667,Neutral
11,2007,3,Snoqualmie,2008,Mar,2008-03-01,1.708333,69,-0.396666666666667,Neutral
11,2007,4,Snoqualmie,2008,Apr,2008-04-01,0.426666,47,-0.396666666666667,Neutral
11,2007,5,Snoqualmie,2008,May,2008-05-01,0.15126,9,-0.396666666666667,Neutral
11,2007,6,Snoqualmie,2008,Jun,2008-06-01,0,0,-0.396666666666667,Neutral
12,2008,10,White,2008,Oct,2008-10-01,0.789473,0,-0.396666666666667,Neutral
12,2008,11,White,2008,Nov,2008-11-01,2.495798,12,-0.396666666666667,Neutral
12,2008,12,White,2008,Dec,2008-12-01,3.12987,26,-0.396666666666667,Neutral
12,2008,1,White,2009,Jan,2009-01-01,3.474358,54,0.729166666666667,El Niño
12,2008,2,White,2009,Feb,2009-02-01,2.794326,66,0.729166666666667,El Niño
12,2008,3,White,2009,Mar,2009-03-01,2.272151,70,0.729166666666667,El Niño
12,2008,4,White,2009,Apr,2009-04-01,1.048387,63,0.729166666666667,El Niño
1,2009,11,Blewett,2009,Nov,2009-11-01,0.732673,3,0.729166666666667,El Niño
1,2009,12,Blewett,2009,Dec,2009-12-01,1.525,18,0.729166666666667,El Niño
1,2009,1,Blewett,2010,Jan,2010-01-01,1.109154,31,-1.17416666666667,La Niña
1,2009,2,Blewett,2010,Feb,2010-02-01,0.649253,27,-1.17416666666667,La Niña
1,2009,3,Blewett,2010,Mar,2010-03-01,0.583333,20,-1.17416666666667,La Niña
1,2009,4,Blewett,2010,Apr,2010-04-01,0.714285,10,-1.17416666666667,La Niña
1,2009,5,Blewett,2010,May,2010-05-01,0,0,-1.17416666666667,La Niña
10,2010,10,Stevens,2010,Oct,2010-10-01,1.07317,1,-1.17416666666667,La Niña
10,2010,11,Stevens,2010,Nov,2010-11-01,2.554687,17,-1.17416666666667,La Niña
10,2010,12,Stevens,2010,Dec,2010-12-01,3.270161,43,-1.17416666666667,La Niña
10,2010,1,Stevens,2011,Jan,2011-01-01,3.446428,80,-0.665,La Niña
10,2010,2,Stevens,2011,Feb,2011-02-01,1.974887,97,-0.665,La Niña
10,2010,3,Stevens,2011,Mar,2011-03-01,2.407894,103,-0.665,La Niña
10,2010,4,Stevens,2011,Apr,2011-04-01,1.713333,105,-0.665,La Niña
10,2010,5,Stevens,2011,May,2011-05-01,2.375,85,-0.665,La Niña
11,2011,10,Snoqualmie,2011,Oct,2011-10-01,0.074193,0,-0.665,La Niña
11,2011,11,Snoqualmie,2011,Nov,2011-11-01,1.980132,11,-0.665,La Niña
11,2011,12,Snoqualmie,2011,Dec,2011-12-01,3.647435,40,-0.665,La Niña
11,2011,1,Snoqualmie,2012,Jan,2012-01-01,2.351612,65,NA,NA
11,2011,2,Snoqualmie,2012,Feb,2012-02-01,1.933098,73,NA,NA
11,2011,3,Snoqualmie,2012,Mar,2012-03-01,2.63782,83,NA,NA
11,2011,4,Snoqualmie,2012,Apr,2012-04-01,1.786666,81,NA,NA
11,2011,5,Snoqualmie,2012,May,2012-05-01,0.154838,38,NA,NA
11,2011,6,Snoqualmie,2012,Jun,2012-06-01,0.129032,7,NA,NA
12,2012,10,White,2012,Oct,2012-10-01,1.074074,2,NA,NA
12,2012,11,White,2012,Nov,2012-11-01,1.76923,9,NA,NA
12,2012,12,White,2012,Dec,2012-12-01,2.910256,24,NA,NA
12,2012,1,White,2013,Jan,2013-01-01,2.780645,47,NA,NA
12,2012,2,White,2013,Feb,2013-02-01,2.647887,59,NA,NA
12,2012,3,White,2013,Mar,2013-03-01,2.916666,73,NA,NA
12,2012,4,White,2013,Apr,2013-04-01,1.410071,72,NA,NA
1,2013,10,Blewett,2013,Oct,2013-10-01,0,13,NA,NA
1,2013,11,Blewett,2013,Nov,2013-11-01,0.59813,3,NA,NA
1,2013,12,Blewett,2013,Dec,2013-12-01,1.307189,15,NA,NA
1,2013,1,Blewett,2014,Jan,2014-01-01,0.745222,23,0.541666666666667,El Niño
1,2013,2,Blewett,2014,Feb,2014-02-01,0.654929,16,0.541666666666667,El Niño
1,2013,3,Blewett,2014,Mar,2014-03-01,0.77027,18,0.541666666666667,El Niño
1,2013,4,Blewett,2014,Apr,2014-04-01,0.363636,4,0.541666666666667,El Niño
10,2014,10,Stevens,2014,Oct,2014-10-01,1.826923,5,0.541666666666667,El Niño
10,2014,11,Stevens,2014,Nov,2014-11-01,2.643333,17,0.541666666666667,El Niño
10,2014,12,Stevens,2014,Dec,2014-12-01,2.814935,43,0.541666666666667,El Niño
10,2014,1,Stevens,2015,Jan,2015-01-01,2.570512,63,1.71916666666667,El Niño
10,2014,2,Stevens,2015,Feb,2015-02-01,3.297202,84,1.71916666666667,El Niño
10,2014,3,Stevens,2015,Mar,2015-03-01,3.203225,106,1.71916666666667,El Niño
10,2014,4,Stevens,2015,Apr,2015-04-01,1.685606,104,1.71916666666667,El Niño
10,2014,5,Stevens,2015,May,2015-05-01,2.583333,92,1.71916666666667,El Niño
11,2015,10,Snoqualmie,2015,Oct,2015-10-01,0.077419,0,1.71916666666667,El Niño
11,2015,11,Snoqualmie,2015,Nov,2015-11-01,1.625827,8,1.71916666666667,El Niño
11,2015,12,Snoqualmie,2015,Dec,2015-12-01,2.106451,30,1.71916666666667,El Niño
11,2015,1,Snoqualmie,2016,Jan,2016-01-01,1.945161,48,-0.2575,Neutral
11,2015,2,Snoqualmie,2016,Feb,2016-02-01,2.728873,63,-0.2575,Neutral
11,2015,3,Snoqualmie,2016,Mar,2016-03-01,2.154838,78,-0.2575,Neutral
11,2015,4,Snoqualmie,2016,Apr,2016-04-01,1.27,66,-0.2575,Neutral
11,2015,5,Snoqualmie,2016,May,2016-05-01,0.054838,28,-0.2575,Neutral
12,2016,11,White,2016,Nov,2016-11-01,1.012195,4,-0.2575,Neutral
12,2016,12,White,2016,Dec,2016-12-01,2.145695,18,-0.2575,Neutral
12,2016,1,White,2017,Jan,2017-01-01,1.792207,34,-0.500833333333333,La Niña
12,2016,2,White,2017,Feb,2017-02-01,1.880281,43,-0.500833333333333,La Niña
12,2016,3,White,2017,Mar,2017-03-01,1.601307,51,-0.500833333333333,La Niña
12,2016,4,White,2017,Apr,2017-04-01,0.736111,41,-0.500833333333333,La Niña
1,2017,10,Blewett,2017,Oct,2017-10-01,0,6,-0.500833333333333,La Niña
1,2017,11,Blewett,2017,Nov,2017-11-01,0.303278,1,-0.500833333333333,La Niña
1,2017,12,Blewett,2017,Dec,2017-12-01,0.993506,10,-0.500833333333333,La Niña
1,2017,1,Blewett,2018,Jan,2018-01-01,0.801282,18,0.5925,El Niño
1,2017,2,Blewett,2018,Feb,2018-02-01,0.797101,21,0.5925,El Niño
1,2017,3,Blewett,2018,Mar,2018-03-01,0.450331,13,0.5925,El Niño
1,2017,4,Blewett,2018,Apr,2018-04-01,0.029411,1,0.5925,El Niño
10,2018,10,Stevens,2018,Oct,2018-10-01,1.5,4,0.5925,El Niño
10,2018,11,Stevens,2018,Nov,2018-11-01,1.853333,9,0.5925,El Niño
10,2018,12,Stevens,2018,Dec,2018-12-01,3.096153,33,0.5925,El Niño
10,2018,1,Stevens,2019,Jan,2019-01-01,2.388535,55,NA,NA
10,2018,2,Stevens,2019,Feb,2019-02-01,2.964539,71,NA,NA
10,2018,3,Stevens,2019,Mar,2019-03-01,2.216129,86,NA,NA
10,2018,4,Stevens,2019,Apr,2019-04-01,1.72,76,NA,NA
11,2019,10,Snoqualmie,2019,Oct,2019-10-01,0.025806,0,NA,NA
11,2019,11,Snoqualmie,2019,Nov,2019-11-01,0.98,4,NA,NA
11,2019,12,Snoqualmie,2019,Dec,2019-12-01,3.425806,33,NA,NA
11,2019,1,Snoqualmie,2020,Jan,2020-01-01,2.109677,57,-0.82,La Niña
11,2019,2,Snoqualmie,2020,Feb,2020-02-01,2.53546,69,-0.82,La Niña
11,2019,3,Snoqualmie,2020,Mar,2020-03-01,1.348387,70,-0.82,La Niña
11,2019,4,Snoqualmie,2020,Apr,2020-04-01,0.556666,50,-0.82,La Niña
11,2019,5,Snoqualmie,2020,May,2020-05-01,0.006451,11,-0.82,La Niña
12,2020,10,White,2020,Oct,2020-10-01,0,0,-0.82,La Niña
12,2020,11,White,2020,Nov,2020-11-01,1.060483,3,-0.82,La Niña
12,2020,12,White,2020,Dec,2020-12-01,2.389261,20,-0.82,La Niña
12,2020,1,White,2021,Jan,2021-01-01,2.335526,42,-0.843333333333333,La Niña
12,2020,2,White,2021,Feb,2021-02-01,2.526595,53,-0.843333333333333,La Niña
12,2020,3,White,2021,Mar,2021-03-01,1.246666,58,-0.843333333333333,La Niña
12,2020,4,White,2021,Apr,2021-04-01,0.688202,48,-0.843333333333333,La Niña
1,2021,11,Blewett,2021,Nov,2021-11-01,0.589743,2,-0.843333333333333,La Niña
1,2021,12,Blewett,2021,Dec,2021-12-01,1.026143,10,-0.843333333333333,La Niña
1,2021,1,Blewett,2022,Jan,2022-01-01,1.231788,20,-0.440833333333333,Neutral
1,2021,2,Blewett,2022,Feb,2022-02-01,1.208955,26,-0.440833333333333,Neutral
1,2021,3,Blewett,2022,Mar,2022-03-01,0.477124,19,-0.440833333333333,Neutral
1,2021,4,Blewett,2022,Apr,2022-04-01,0.18421,1,-0.440833333333333,Neutral
10,2022,10,Stevens,2022,Oct,2022-10-01,0.735632,0,-0.440833333333333,Neutral
10,2022,11,Stevens,2022,Nov,2022-11-01,1.85906,10,-0.440833333333333,Neutral
10,2022,12,Stevens,2022,Dec,2022-12-01,3.26923,34,-0.440833333333333,Neutral
10,2022,1,Stevens,2023,Jan,2023-01-01,3.548387,70,1.27333333333333,El Niño
10,2022,2,Stevens,2023,Feb,2023-02-01,4.069148,92,1.27333333333333,El Niño
10,2022,3,Stevens,2023,Mar,2023-03-01,1.312903,101,1.27333333333333,El Niño
10,2022,4,Stevens,2023,Apr,2023-04-01,1.788135,97,1.27333333333333,El Niño
11,2023,10,Snoqualmie,2023,Oct,2023-10-01,0.087096,0,1.27333333333333,El Niño
11,2023,11,Snoqualmie,2023,Nov,2023-11-01,1.343333,7,1.27333333333333,El Niño
11,2023,12,Snoqualmie,2023,Dec,2023-12-01,3.403225,32,1.27333333333333,El Niño
11,2023,1,Snoqualmie,2024,Jan,2024-01-01,2.774193,65,NA,NA
11,2023,2,Snoqualmie,2024,Feb,2024-02-01,3.368794,80,NA,NA
11,2023,3,Snoqualmie,2024,Mar,2024-03-01,1.02258,84,NA,NA
11,2023,4,Snoqualmie,2024,Apr,2024-04-01,0.833333,65,NA,NA
11,2023,5,Snoqualmie,2024,May,2024-05-01,0.032258,17,NA,NA
12,2024,10,White,2024,Oct,2024-10-01,0.09375,0,NA,NA
12,2024,11,White,2024,Nov,2024-11-01,0.971337,5,NA,NA
12,2024,12,White,2024,Dec,2024-12-01,1.820261,19,NA,NA
12,2024,1,White,2025,Jan,2025-01-01,2.264802,43,NA,NA
12,2024,2,White,2025,Feb,2025-02-01,1.844642,54,NA,NA
12,2024,3,White,2025,Mar,2025-03-01,1.21875,65,NA,NA
12,2024,4,White,2025,Apr,2025-04-01,1.065,59,NA,NA
